time,v_target
3.7400000000000004e-07,77.2466141920895
3.7600000000000003e-07,109.61994394422935
3.78e-07,140.14593925870437
3.8e-07,166.33593076149043
3.82e-07,185.62143025159006
3.8400000000000005e-07,195.852579637878
3.8600000000000004e-07,195.7640477461456
3.8800000000000003e-07,185.29205110411453
3.9e-07,165.65787816003598
3.92e-07,139.1871706176964
3.94e-07,108.89707933304364
3.96e-07,77.93965452947069
3.9800000000000004e-07,49.02535089354961
4.0000000000000003e-07,23.956313451095614
4.02e-07,3.3735311690795298
4.04e-07,-13.228806038998611
4.06e-07,-27.23186338071776
4.08e-07,-40.43427811203298
4.1000000000000004e-07,-54.52124731008698
4.1200000000000004e-07,-70.58863803857395
4.1400000000000003e-07,-88.833416844729
4.16e-07,-108.47812874513365
4.18e-07,-127.93801410661962
4.2e-07,-145.17964172790633
4.2200000000000005e-07,-158.17461128023402
4.2400000000000004e-07,-165.33205213839167
4.2600000000000003e-07,-165.80380790780058
4.28e-07,-159.59313202076265
4.3e-07,-147.45140590511346
4.32e-07,-130.60362635012922
4.3400000000000005e-07,-110.3875022037686
4.3600000000000004e-07,-87.91156661479242
4.3800000000000003e-07,-63.82959488134698
4.4e-07,-38.294203951419604
4.42e-07,-11.101077952692066
4.44e-07,18.019435625937756
4.4600000000000005e-07,49.04994652549216
4.4800000000000004e-07,81.3797046823161
4.5000000000000003e-07,113.64266345864719
4.52e-07,143.76273095996328
4.54e-07,169.215426215225
4.56e-07,187.45722921231513
4.5800000000000005e-07,196.42671819791278
4.6000000000000004e-07,194.9976365629637
4.6200000000000003e-07,183.27003179353264
4.64e-07,162.62068149426057
4.66e-07,135.48985320235354
4.68e-07,104.94434053563421
4.7000000000000005e-07,74.11103831207211
4.7200000000000004e-07,45.607429342905036
4.7400000000000004e-07,21.097085919817864
4.7600000000000003e-07,1.0690208148410774
4.78e-07,-15.113431471023313
4.800000000000001e-07,-28.912492567254027
4.82e-07,-42.14190592434879
4.84e-07,-56.43595900895439
4.86e-07,-72.78920706010386
4.88e-07,-91.27397590493423
4.900000000000001e-07,-110.99644451955047
4.92e-07,-130.2920251418281
4.940000000000001e-07,-147.1020905553037
4.96e-07,-159.4315086024744
4.98e-07,-165.77033091375674
5.000000000000001e-07,-165.37687767618928
5.02e-07,-158.35919464290507
5.040000000000001e-07,-145.54670301675048
5.06e-07,-128.19933785800967
5.08e-07,-107.64310375937325
5.1e-07,-84.93803797699834
5.12e-07,-60.672829421793985
5.140000000000001e-07,-34.94313241749384
5.16e-07,-7.517950218132589
5.180000000000001e-07,21.855580049649884
5.2e-07,53.0996229479857
5.22e-07,85.51269672917769
5.24e-07,117.63152760990519
5.26e-07,147.30446624671407
5.280000000000001e-07,171.97825878221838
5.3e-07,189.1425799354136
5.32e-07,196.83188933924205
5.34e-07,194.06379690438348
5.36e-07,181.10302397029508
5.380000000000001e-07,159.47835215614532
5.4e-07,131.737515980831
5.420000000000001e-07,100.98766618085682
5.44e-07,70.32120444015996
5.46e-07,42.255355275611194
5.48e-07,18.311505918037614
5.5e-07,-1.1724955609158165
5.520000000000001e-07,-16.959235758270626
5.54e-07,-30.58420624481646
5.560000000000001e-07,-43.86753950383137
5.58e-07,-58.38506191429646
5.6e-07,-75.02538898012426
5.620000000000001e-07,-93.73549852432323
5.64e-07,-113.5084264052552
5.660000000000001e-07,-132.60595548848775
5.68e-07,-148.95178333144324
5.7e-07,-160.59097090894954
5.72e-07,-166.0991326453184
5.74e-07,-164.84238679698697
5.760000000000001e-07,-157.0314414447926
5.78e-07,-143.56895599199888
5.800000000000001e-07,-125.74379501932947
5.82e-07,-104.86478762772377
5.84e-07,-81.94009266826154
5.860000000000001e-07,-57.492957723081936
5.88e-07,-31.564819403570112
5.900000000000001e-07,-3.9030278404870944
5.92e-07,25.72267070413679
5.94e-07,57.169151915702
5.96e-07,89.64190178560102
5.98e-07,121.58159779305375
6.000000000000001e-07,150.76572271833695
6.02e-07,174.61953901653033
6.040000000000001e-07,190.67415557036148
6.06e-07,197.06711790418066
6.08e-07,192.96424870840437
6.100000000000001e-07,178.79523665472715
6.12e-07,156.2368590255207
6.140000000000001e-07,127.93678772692431
6.16e-07,97.03311770906694
6.180000000000001e-07,66.57456878967265
6.2e-07,38.97121201468896
6.22e-07,15.59917800898631
6.240000000000001e-07,-3.353476695276962
6.26e-07,-18.76987583413612
6.280000000000001e-07,-32.25076129349259
6.3e-07,-45.613971366533114
6.32e-07,-60.36960570665831
6.340000000000001e-07,-77.29617357883932
6.36e-07,-96.21511686432473
6.380000000000001e-07,-116.00999956318479
6.4e-07,-134.87544342308823
6.420000000000001e-07,-150.72502219350704
6.44e-07,-161.6507086736065
6.46e-07,-166.3179396506664
6.480000000000001e-07,-164.20150255115286
6.5e-07,-155.61223836856988
6.520000000000001e-07,-141.52099861804274
6.54e-07,-123.23953960376049
6.56e-07,-102.0542318874436
6.58e-07,-78.91832186435605
6.6e-07,-54.28966934723627
6.620000000000001e-07,-28.158589989477225
6.64e-07,-0.2560017376125331
6.660000000000001e-07,29.61994586410027
6.68e-07,61.256241103616574
6.7e-07,93.76344360567141
6.720000000000001e-07,125.48782439632205
6.74e-07,154.14108649488682
6.760000000000001e-07,177.13452126944063
6.78e-07,192.04889147004084
6.800000000000001e-07,197.13176250053547
6.82e-07,191.70105074438575
6.84e-07,176.35115214575325
6.860000000000001e-07,152.9023208832862
6.88e-07,124.09429279547308
6.900000000000001e-07,93.08660147983758
6.92e-07,62.875279131157114
6.94e-07,35.756764512748525
6.960000000000001e-07,12.959411071916282
6.98e-07,-5.476588508153491
7.000000000000001e-07,-20.54908409393024
7.02e-07,-33.91584750981445
7.040000000000001e-07,-47.38380775408711
7.06e-07,-62.39038555998691
7.08e-07,-79.60029327386124
7.100000000000001e-07,-98.70976624636778
7.12e-07,-118.49699872712029
7.140000000000001e-07,-137.09616090937874
7.16e-07,-152.41825328506283
7.18e-07,-162.60864617650324
7.200000000000001e-07,-166.4264620808054
7.22e-07,-163.45557814389286
7.240000000000001e-07,-154.10405400400717
7.26e-07,-139.40566779510328
7.280000000000001e-07,-120.68902944838962
7.3e-07,-99.21298072088769
7.32e-07,-75.87318376662883
7.340000000000001e-07,-51.06257196322204
7.36e-07,-24.72377348508999
7.380000000000001e-07,3.4233372979011376
7.4e-07,33.54646787580854
7.420000000000001e-07,65.35839064086045
7.440000000000001e-07,97.87326493870285
7.46e-07,129.34506005762788
7.480000000000001e-07,157.42516916106425
7.5e-07,179.51862032668387
7.520000000000001e-07,193.26399739937415
7.54e-07,197.0255200777025
7.56e-07,190.276596103907
7.580000000000001e-07,173.77551313104237
7.6e-07,149.48098787351634
7.620000000000001e-07,120.21663106017017
7.64e-07,89.15385171132995
7.660000000000001e-07,59.22720490288486
7.680000000000001e-07,32.61345816868895
7.7e-07,10.391226219523126
7.720000000000001e-07,-7.544689179175156
7.74e-07,-22.300650183874595
7.760000000000001e-07,-35.58307052402063
7.78e-07,-49.17945670738993
7.8e-07,-64.44793803606339
7.820000000000001e-07,-81.93622751319262
7.84e-07,-101.21619661747407
7.860000000000001e-07,-120.9651836234759
7.88e-07,-139.2638289902098
7.900000000000001e-07,-154.0280783048806
7.92e-07,-163.46292652873407
7.94e-07,-166.4246355319459
7.960000000000001e-07,-162.60614398811921
7.98e-07,-152.50944726863023
8.000000000000001e-07,-137.2257912200747
